# 동결 벡터 v1 (#243) — 출하된 FORMULA_VERSION=1의 출력을 박제한 파일.
# **절대 수정하지 않는다.** 엔진 출력이 이 값과 달라지면 CI가 실패하며, 그때는 이 파일을
# 고치는 게 아니라 XpEngine.FORMULA_VERSION을 올리고 v2 파일을 새로 만든다.
# 이미 테스터 원장에 쌓인 v1 이벤트의 '의미'를 소급 변경하지 않기 위한 장치(BACKEND §1).
current,points,restMode,restedYesterday,expected
20.0,0.0,false,false,20.0
20.0,0.0,false,true,20.0
20.0,0.0,true,false,20.0
20.0,0.0,true,true,20.0
20.0,5.0,false,false,20.0
20.0,5.0,false,true,20.0
20.0,5.0,true,false,20.0
20.0,5.0,true,true,20.0
20.0,10.0,false,false,35.0
20.0,10.0,false,true,42.0
20.0,10.0,true,false,35.0
20.0,10.0,true,true,42.0
20.0,50.0,false,false,35.0
20.0,50.0,false,true,42.0
20.0,50.0,true,false,35.0
20.0,50.0,true,true,42.0
40.0,0.0,false,false,38.0
40.0,0.0,false,true,38.0
40.0,0.0,true,false,40.0
40.0,0.0,true,true,40.0
40.0,5.0,false,false,38.0
40.0,5.0,false,true,38.0
40.0,5.0,true,false,40.0
40.0,5.0,true,true,40.0
40.0,10.0,false,false,55.0
40.0,10.0,false,true,62.0
40.0,10.0,true,false,55.0
40.0,10.0,true,true,62.0
40.0,50.0,false,false,55.0
40.0,50.0,false,true,62.0
40.0,50.0,true,false,55.0
40.0,50.0,true,true,62.0
70.0,0.0,false,false,65.0
70.0,0.0,false,true,65.0
70.0,0.0,true,false,70.0
70.0,0.0,true,true,70.0
70.0,5.0,false,false,65.0
70.0,5.0,false,true,65.0
70.0,5.0,true,false,70.0
70.0,5.0,true,true,70.0
70.0,10.0,false,false,85.0
70.0,10.0,false,true,92.0
70.0,10.0,true,false,85.0
70.0,10.0,true,true,92.0
70.0,50.0,false,false,85.0
70.0,50.0,false,true,92.0
70.0,50.0,true,false,85.0
70.0,50.0,true,true,92.0
100.0,0.0,false,false,92.0
100.0,0.0,false,true,92.0
100.0,0.0,true,false,100.0
100.0,0.0,true,true,100.0
100.0,5.0,false,false,92.0
100.0,5.0,false,true,92.0
100.0,5.0,true,false,100.0
100.0,5.0,true,true,100.0
100.0,10.0,false,false,100.0
100.0,10.0,false,true,100.0
100.0,10.0,true,false,100.0
100.0,10.0,true,true,100.0
100.0,50.0,false,false,100.0
100.0,50.0,false,true,100.0
100.0,50.0,true,false,100.0
100.0,50.0,true,true,100.0
