# 동결 벡터 v1 (#243) — 출하된 FORMULA_VERSION=1의 출력을 박제한 파일.
# **절대 수정하지 않는다.** 엔진 출력이 이 값과 달라지면 CI가 실패하며, 그때는 이 파일을
# 고치는 게 아니라 XpEngine.FORMULA_VERSION을 올리고 v2 파일을 새로 만든다.
# 이미 테스터 원장에 쌓인 v1 이벤트의 '의미'를 소급 변경하지 않기 위한 장치(BACKEND §1).
base,personalCoef,trust,balance,expected
0.0,0.5,0.0,1.0,0
0.0,0.5,0.0,1.15,0
0.0,0.5,0.85,1.0,0
0.0,0.5,0.85,1.15,0
0.0,0.5,1.0,1.0,0
0.0,0.5,1.0,1.15,0
0.0,0.8,0.0,1.0,0
0.0,0.8,0.0,1.15,0
0.0,0.8,0.85,1.0,0
0.0,0.8,0.85,1.15,0
0.0,0.8,1.0,1.0,0
0.0,0.8,1.0,1.15,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.15,0
0.0,1.0,0.85,1.0,0
0.0,1.0,0.85,1.15,0
0.0,1.0,1.0,1.0,0
0.0,1.0,1.0,1.15,0
0.0,1.5,0.0,1.0,0
0.0,1.5,0.0,1.15,0
0.0,1.5,0.85,1.0,0
0.0,1.5,0.85,1.15,0
0.0,1.5,1.0,1.0,0
0.0,1.5,1.0,1.15,0
0.0,2.0,0.0,1.0,0
0.0,2.0,0.0,1.15,0
0.0,2.0,0.85,1.0,0
0.0,2.0,0.85,1.15,0
0.0,2.0,1.0,1.0,0
0.0,2.0,1.0,1.15,0
50.0,0.5,0.0,1.0,0
50.0,0.5,0.0,1.15,0
50.0,0.5,0.85,1.0,34
50.0,0.5,0.85,1.15,39
50.0,0.5,1.0,1.0,40
50.0,0.5,1.0,1.15,46
50.0,0.8,0.0,1.0,0
50.0,0.8,0.0,1.15,0
50.0,0.8,0.85,1.0,34
50.0,0.8,0.85,1.15,39
50.0,0.8,1.0,1.0,40
50.0,0.8,1.0,1.15,46
50.0,1.0,0.0,1.0,0
50.0,1.0,0.0,1.15,0
50.0,1.0,0.85,1.0,42
50.0,1.0,0.85,1.15,48
50.0,1.0,1.0,1.0,50
50.0,1.0,1.0,1.15,57
50.0,1.5,0.0,1.0,0
50.0,1.5,0.0,1.15,0
50.0,1.5,0.85,1.0,63
50.0,1.5,0.85,1.15,73
50.0,1.5,1.0,1.0,75
50.0,1.5,1.0,1.15,86
50.0,2.0,0.0,1.0,0
50.0,2.0,0.0,1.15,0
50.0,2.0,0.85,1.0,63
50.0,2.0,0.85,1.15,73
50.0,2.0,1.0,1.0,75
50.0,2.0,1.0,1.15,86
100.0,0.5,0.0,1.0,0
100.0,0.5,0.0,1.15,0
100.0,0.5,0.85,1.0,68
100.0,0.5,0.85,1.15,78
100.0,0.5,1.0,1.0,80
100.0,0.5,1.0,1.15,92
100.0,0.8,0.0,1.0,0
100.0,0.8,0.0,1.15,0
100.0,0.8,0.85,1.0,68
100.0,0.8,0.85,1.15,78
100.0,0.8,1.0,1.0,80
100.0,0.8,1.0,1.15,92
100.0,1.0,0.0,1.0,0
100.0,1.0,0.0,1.15,0
100.0,1.0,0.85,1.0,85
100.0,1.0,0.85,1.15,97
100.0,1.0,1.0,1.0,100
100.0,1.0,1.0,1.15,114
100.0,1.5,0.0,1.0,0
100.0,1.5,0.0,1.15,0
100.0,1.5,0.85,1.0,127
100.0,1.5,0.85,1.15,146
100.0,1.5,1.0,1.0,150
100.0,1.5,1.0,1.15,172
100.0,2.0,0.0,1.0,0
100.0,2.0,0.0,1.15,0
100.0,2.0,0.85,1.0,127
100.0,2.0,0.85,1.15,146
100.0,2.0,1.0,1.0,150
100.0,2.0,1.0,1.15,172
199.0,0.5,0.0,1.0,0
199.0,0.5,0.0,1.15,0
199.0,0.5,0.85,1.0,135
199.0,0.5,0.85,1.15,155
199.0,0.5,1.0,1.0,159
199.0,0.5,1.0,1.15,183
199.0,0.8,0.0,1.0,0
199.0,0.8,0.0,1.15,0
199.0,0.8,0.85,1.0,135
199.0,0.8,0.85,1.15,155
199.0,0.8,1.0,1.0,159
199.0,0.8,1.0,1.15,183
199.0,1.0,0.0,1.0,0
199.0,1.0,0.0,1.15,0
199.0,1.0,0.85,1.0,169
199.0,1.0,0.85,1.15,194
199.0,1.0,1.0,1.0,199
199.0,1.0,1.0,1.15,214
199.0,1.5,0.0,1.0,0
199.0,1.5,0.0,1.15,0
199.0,1.5,0.85,1.0,226
199.0,1.5,0.85,1.15,245
199.0,1.5,1.0,1.0,249
199.0,1.5,1.0,1.15,271
199.0,2.0,0.0,1.0,0
199.0,2.0,0.0,1.15,0
199.0,2.0,0.85,1.0,226
199.0,2.0,0.85,1.15,245
199.0,2.0,1.0,1.0,249
199.0,2.0,1.0,1.15,271
200.0,0.5,0.0,1.0,0
200.0,0.5,0.0,1.15,0
200.0,0.5,0.85,1.0,136
200.0,0.5,0.85,1.15,156
200.0,0.5,1.0,1.0,160
200.0,0.5,1.0,1.15,184
200.0,0.8,0.0,1.0,0
200.0,0.8,0.0,1.15,0
200.0,0.8,0.85,1.0,136
200.0,0.8,0.85,1.15,156
200.0,0.8,1.0,1.0,160
200.0,0.8,1.0,1.15,184
200.0,1.0,0.0,1.0,0
200.0,1.0,0.0,1.15,0
200.0,1.0,0.85,1.0,170
200.0,1.0,0.85,1.15,195
200.0,1.0,1.0,1.0,200
200.0,1.0,1.0,1.15,215
200.0,1.5,0.0,1.0,0
200.0,1.5,0.0,1.15,0
200.0,1.5,0.85,1.0,227
200.0,1.5,0.85,1.15,246
200.0,1.5,1.0,1.0,250
200.0,1.5,1.0,1.15,272
200.0,2.0,0.0,1.0,0
200.0,2.0,0.0,1.15,0
200.0,2.0,0.85,1.0,227
200.0,2.0,0.85,1.15,246
200.0,2.0,1.0,1.0,250
200.0,2.0,1.0,1.15,272
201.0,0.5,0.0,1.0,0
201.0,0.5,0.0,1.15,0
201.0,0.5,0.85,1.0,136
201.0,0.5,0.85,1.15,157
201.0,0.5,1.0,1.0,160
201.0,0.5,1.0,1.15,184
201.0,0.8,0.0,1.0,0
201.0,0.8,0.0,1.15,0
201.0,0.8,0.85,1.0,136
201.0,0.8,0.85,1.15,157
201.0,0.8,1.0,1.0,160
201.0,0.8,1.0,1.15,184
201.0,1.0,0.0,1.0,0
201.0,1.0,0.0,1.15,0
201.0,1.0,0.85,1.0,170
201.0,1.0,0.85,1.15,196
201.0,1.0,1.0,1.0,200
201.0,1.0,1.0,1.15,215
201.0,1.5,0.0,1.0,0
201.0,1.5,0.0,1.15,0
201.0,1.5,0.85,1.0,228
201.0,1.5,0.85,1.15,247
201.0,1.5,1.0,1.0,250
201.0,1.5,1.0,1.15,273
201.0,2.0,0.0,1.0,0
201.0,2.0,0.0,1.15,0
201.0,2.0,0.85,1.0,228
201.0,2.0,0.85,1.15,247
201.0,2.0,1.0,1.0,250
201.0,2.0,1.0,1.15,273
300.0,0.5,0.0,1.0,0
300.0,0.5,0.0,1.15,0
300.0,0.5,0.85,1.0,202
300.0,0.5,0.85,1.15,217
300.0,0.5,1.0,1.0,220
300.0,0.5,1.0,1.15,238
300.0,0.8,0.0,1.0,0
300.0,0.8,0.0,1.15,0
300.0,0.8,0.85,1.0,202
300.0,0.8,0.85,1.15,217
300.0,0.8,1.0,1.0,220
300.0,0.8,1.0,1.15,238
300.0,1.0,0.0,1.0,0
300.0,1.0,0.0,1.15,0
300.0,1.0,0.85,1.0,227
300.0,1.0,0.85,1.15,246
300.0,1.0,1.0,1.0,250
300.0,1.0,1.0,1.15,272
300.0,1.5,0.0,1.0,0
300.0,1.5,0.0,1.15,0
300.0,1.5,0.85,1.0,291
300.0,1.5,0.85,1.15,300
300.0,1.5,1.0,1.0,300
300.0,1.5,1.0,1.15,300
300.0,2.0,0.0,1.0,0
300.0,2.0,0.0,1.15,0
300.0,2.0,0.85,1.0,291
300.0,2.0,0.85,1.15,300
300.0,2.0,1.0,1.0,300
300.0,2.0,1.0,1.15,300
400.0,0.5,0.0,1.0,0
400.0,0.5,0.0,1.15,0
400.0,0.5,0.85,1.0,236
400.0,0.5,0.85,1.15,256
400.0,0.5,1.0,1.0,260
400.0,0.5,1.0,1.15,284
400.0,0.8,0.0,1.0,0
400.0,0.8,0.0,1.15,0
400.0,0.8,0.85,1.0,236
400.0,0.8,0.85,1.15,256
400.0,0.8,1.0,1.0,260
400.0,0.8,1.0,1.15,284
400.0,1.0,0.0,1.0,0
400.0,1.0,0.0,1.15,0
400.0,1.0,0.85,1.0,270
400.0,1.0,0.85,1.15,295
400.0,1.0,1.0,1.0,300
400.0,1.0,1.0,1.15,300
400.0,1.5,0.0,1.0,0
400.0,1.5,0.0,1.15,0
400.0,1.5,0.85,1.0,300
400.0,1.5,0.85,1.15,300
400.0,1.5,1.0,1.0,300
400.0,1.5,1.0,1.15,300
400.0,2.0,0.0,1.0,0
400.0,2.0,0.0,1.15,0
400.0,2.0,0.85,1.0,300
400.0,2.0,0.85,1.15,300
400.0,2.0,1.0,1.0,300
400.0,2.0,1.0,1.15,300
500.0,0.5,0.0,1.0,0
500.0,0.5,0.0,1.15,0
500.0,0.5,0.85,1.0,270
500.0,0.5,0.85,1.15,295
500.0,0.5,1.0,1.0,300
500.0,0.5,1.0,1.15,300
500.0,0.8,0.0,1.0,0
500.0,0.8,0.0,1.15,0
500.0,0.8,0.85,1.0,270
500.0,0.8,0.85,1.15,295
500.0,0.8,1.0,1.0,300
500.0,0.8,1.0,1.15,300
500.0,1.0,0.0,1.0,0
500.0,1.0,0.0,1.15,0
500.0,1.0,0.85,1.0,300
500.0,1.0,0.85,1.15,300
500.0,1.0,1.0,1.0,300
500.0,1.0,1.0,1.15,300
500.0,1.5,0.0,1.0,0
500.0,1.5,0.0,1.15,0
500.0,1.5,0.85,1.0,300
500.0,1.5,0.85,1.15,300
500.0,1.5,1.0,1.0,300
500.0,1.5,1.0,1.15,300
500.0,2.0,0.0,1.0,0
500.0,2.0,0.0,1.15,0
500.0,2.0,0.85,1.0,300
500.0,2.0,0.85,1.15,300
500.0,2.0,1.0,1.0,300
500.0,2.0,1.0,1.15,300
1000.0,0.5,0.0,1.0,0
1000.0,0.5,0.0,1.15,0
1000.0,0.5,0.85,1.0,300
1000.0,0.5,0.85,1.15,300
1000.0,0.5,1.0,1.0,300
1000.0,0.5,1.0,1.15,300
1000.0,0.8,0.0,1.0,0
1000.0,0.8,0.0,1.15,0
1000.0,0.8,0.85,1.0,300
1000.0,0.8,0.85,1.15,300
1000.0,0.8,1.0,1.0,300
1000.0,0.8,1.0,1.15,300
1000.0,1.0,0.0,1.0,0
1000.0,1.0,0.0,1.15,0
1000.0,1.0,0.85,1.0,300
